,From Date,To Date,Remote Station ID,Station,Total Fares for the Week,Contains Holiday,Gas Price
0,2021-07-31,2021-08-06,R001,WHITEHALL STREET,52469.0,No,3.21
1,2021-07-31,2021-08-06,R003,CYPRESS HILLS,3029.0,No,3.21
2,2021-07-31,2021-08-06,R004,75TH STREET & ELDERTS LANE,8455.0,No,3.21
3,2021-07-31,2021-08-06,R005,85TH STREET & FOREST PKWAY,8678.0,No,3.21
4,2021-07-31,2021-08-06,R006,WOODHAVEN BOULEVARD,9821.0,No,3.21
5,2021-07-31,2021-08-06,R007,104TH STREET,6275.0,No,3.21
6,2021-07-31,2021-08-06,R008,111TH STREET,4925.0,No,3.21
7,2021-07-31,2021-08-06,R009,121ST STREET,4636.0,No,3.21
8,2021-07-31,2021-08-06,R010,42ND STREET & 8TH AVENUE,65341.0,No,3.21
9,2021-07-31,2021-08-06,R011,42ND STREET & 8TH AVENUE,136032.0,No,3.21
10,2021-07-31,2021-08-06,R012,34TH STREET & 8TH AVENUE,114961.0,No,3.21
11,2021-07-31,2021-08-06,R013,34TH STREET & 8TH AVENUE,37380.0,No,3.21
12,2021-07-31,2021-08-06,R014,FULTON STREET,102592.0,No,3.21
13,2021-07-31,2021-08-06,R015,FIFTH AVENUE,35717.0,No,3.21
14,2021-07-31,2021-08-06,R016,LEXINGTON AVENUE,9399.0,No,3.21
15,2021-07-31,2021-08-06,R017,LEXINGTON AVENUE,55073.0,No,3.21
16,2021-07-31,2021-08-06,R018,ROOSEVELT AVE/JACKSON HTS,139251.0,No,3.21
17,2021-07-31,2021-08-06,R019,179TH STREET & HILLSIDE AVE,36883.0,No,3.21
18,2021-07-31,2021-08-06,R020,47-50 STREETS/ROCKEFELLER,91882.0,No,3.21
19,2021-07-31,2021-08-06,R021,42ND STREET & 6TH AVENUE,64585.0,No,3.21
20,2021-07-31,2021-08-06,R022,34TH STREET & 6TH AVENUE,138595.0,No,3.21
21,2021-07-31,2021-08-06,R023,34TH STREET & 6TH AVENUE,88739.0,No,3.21
22,2021-07-31,2021-08-06,R024,SUTPHIN BOULEVARD,56256.0,No,3.21
23,2021-07-31,2021-08-06,R025,JAMAICA CENTER-PARSONS BLVD,54505.0,No,3.21
24,2021-07-31,2021-08-06,R027,WALL STREET,29868.0,No,3.21
25,2021-07-31,2021-08-06,R028,FULTON & WILLIAM STREETS,43056.0,No,3.21
26,2021-07-31,2021-08-06,R029,PARK PLACE,70404.0,No,3.21
27,2021-07-31,2021-08-06,R030,CHAMBERS STREET,26991.0,No,3.21
28,2021-07-31,2021-08-06,R031,34TH STREET & 7TH AVENUE,47648.0,No,3.21
29,2021-07-31,2021-08-06,R032,42ND STREET/TIMES SQUARE,72755.0,No,3.21
30,2021-07-31,2021-08-06,R033,42ND STREET/TIMES SQUARE,96949.0,No,3.21
31,2021-07-31,2021-08-06,R034,125TH STREET & BROADWAY,17255.0,No,3.21
32,2021-07-31,2021-08-06,R035,168TH STREET & BROADWAY,56741.0,No,3.21
33,2021-07-31,2021-08-06,R036,DYCKMAN STREET,18537.0,No,3.21
34,2021-07-31,2021-08-06,R037,207TH STREET,14643.0,No,3.21
35,2021-07-31,2021-08-06,R038,215TH STREET,3662.0,No,3.21
36,2021-07-31,2021-08-06,R039,225TH STREET,12320.0,No,3.21
37,2021-07-31,2021-08-06,R040,231ST STREET,21523.0,No,3.21
38,2021-07-31,2021-08-06,R041,BOWLING GREEN & BATTERY PL,31207.0,No,3.21
39,2021-07-31,2021-08-06,R042,BOWLING GREEN & BROADWAY,9810.0,No,3.21
40,2021-07-31,2021-08-06,R043,WALL STREET,26764.0,No,3.21
41,2021-07-31,2021-08-06,R044,BROOKLYN BRIDGE,48322.0,No,3.21
42,2021-07-31,2021-08-06,R045,42ND STREET & GRAND CENTRAL,19339.0,No,3.21
43,2021-07-31,2021-08-06,R046,42ND STREET & GRAND CENTRAL,115946.0,No,3.21
44,2021-07-31,2021-08-06,R047,42ND STREET & GRAND CENTRAL,58899.0,No,3.21
45,2021-07-31,2021-08-06,R048,42ND STREET & 3RD AVENUE,16289.0,No,3.21
46,2021-07-31,2021-08-06,R049,51ST STREET & LEXINGTON AVE,29169.0,No,3.21
47,2021-07-31,2021-08-06,R050,59TH STREET & LEXINGTON AVE,36104.0,No,3.21
48,2021-07-31,2021-08-06,R051,59TH STREET & LEXINGTON AVE,65807.0,No,3.21
49,2021-07-31,2021-08-06,R052,WOODLAWN ROAD,12987.0,No,3.21
50,2021-07-31,2021-08-06,R053,149TH STREET & 3RD AVENUE,51607.0,No,3.21
51,2021-07-31,2021-08-06,R054,FIFTH AVENUE & 42ND STREET,24967.0,No,3.21
52,2021-07-31,2021-08-06,R055,MAIN STREET,121728.0,No,3.21
53,2021-07-31,2021-08-06,R056,NEVINS STREET,18831.0,No,3.21
54,2021-07-31,2021-08-06,R057,BARCLAYS CENTER,86182.0,No,3.21
55,2021-07-31,2021-08-06,R058,BERGEN STREET,6706.0,No,3.21
56,2021-07-31,2021-08-06,R059,GRAND ARMY PLAZA,13868.0,No,3.21
57,2021-07-31,2021-08-06,R060,EASTERN PARKWAY,9465.0,No,3.21
58,2021-07-31,2021-08-06,R061,NOSTRAND AVENUE,9309.0,No,3.21
59,2021-07-31,2021-08-06,R062,UTICA AVENUE,53929.0,No,3.21
60,2021-07-31,2021-08-06,R063,SUTTER AVENUE,15529.0,No,3.21
61,2021-07-31,2021-08-06,R064,SARATOGA AVENUE,13468.0,No,3.21
62,2021-07-31,2021-08-06,R065,ROCKAWAY AVENUE,11356.0,No,3.21
63,2021-07-31,2021-08-06,R066,JUNIUS STREET,4991.0,No,3.21
64,2021-07-31,2021-08-06,R067,PENNSYLVANIA AVENUE,10112.0,No,3.21
65,2021-07-31,2021-08-06,R068,VAN SICLEN AVENUE,6448.0,No,3.21
66,2021-07-31,2021-08-06,R069,NEW LOTS AVENUE,12209.0,No,3.21
67,2021-07-31,2021-08-06,R070,ST GEORGE TERMINAL,13803.0,No,3.21
68,2021-07-31,2021-08-06,R072,34TH STREET - HUDSON YARDS,42435.0,No,3.21
69,2021-07-31,2021-08-06,R079,FIFTH AVENUE & 60TH STREET,34024.0,No,3.21
70,2021-07-31,2021-08-06,R080,57TH STREET & 7TH AVENUE,62143.0,No,3.21
71,2021-07-31,2021-08-06,R081,49TH STREET & 7TH AVENUE,42398.0,No,3.21
72,2021-07-31,2021-08-06,R082,28TH STREET & BROADWAY,21627.0,No,3.21
73,2021-07-31,2021-08-06,R083,23RD STREET & 5TH AVENUE,35992.0,No,3.21
74,2021-07-31,2021-08-06,R084,59TH STREET/COLUMBUS CIRCLE,127428.0,No,3.21
75,2021-07-31,2021-08-06,R085,8TH STREET & BROADWAY,26268.0,No,3.21
76,2021-07-31,2021-08-06,R086,PRINCE STREET & BROADWAY,25896.0,No,3.21
77,2021-07-31,2021-08-06,R087,CITY HALL,9900.0,No,3.21
78,2021-07-31,2021-08-06,R088,CORTLANDT STREET,32926.0,No,3.21
79,2021-07-31,2021-08-06,R089,JAY ST-METROTECH,5836.0,No,3.21
80,2021-07-31,2021-08-06,R090,39TH AVENUE & 31ST STREET,6728.0,No,3.21
81,2021-07-31,2021-08-06,R091,36TH AVENUE & 31ST STREET,15467.0,No,3.21
82,2021-07-31,2021-08-06,R092,BROADWAY & 31ST STREET,28196.0,No,3.21
83,2021-07-31,2021-08-06,R093,30TH AVENUE & 31ST STREET,30920.0,No,3.21
84,2021-07-31,2021-08-06,R094,ASTORIA BLVD & 31ST STREET,22208.0,No,3.21
85,2021-07-31,2021-08-06,R095,DITMARS BLVD & 31ST STREET,32727.0,No,3.21
86,2021-07-31,2021-08-06,R096,82ND STREET-JACKSON HEIGHTS,52692.0,No,3.21
87,2021-07-31,2021-08-06,R097,JUNCTION BLVD-ROOSEVELT AVE,77141.0,No,3.21
88,2021-07-31,2021-08-06,R098,CHURCH AVENUE,38813.0,No,3.21
89,2021-07-31,2021-08-06,R099,DEKALB AVENUE,38135.0,No,3.21
90,2021-07-31,2021-08-06,R100,METROPOLITAN AVENUE,7713.0,No,3.21
91,2021-07-31,2021-08-06,R101,145TH STREET,50194.0,No,3.21
92,2021-07-31,2021-08-06,R102,125TH STREET,61694.0,No,3.21
93,2021-07-31,2021-08-06,R103,BROADWAY-EAST NEW YORK,16584.0,No,3.21
94,2021-07-31,2021-08-06,R104,167TH ST-GRAND CONCOURSE,20376.0,No,3.21
95,2021-07-31,2021-08-06,R105,14TH STREET & 7TH AVENUE,45529.0,No,3.21
96,2021-07-31,2021-08-06,R106,CASTLE HILL AVENUE,15632.0,No,3.21
97,2021-07-31,2021-08-06,R107,WESTCHESTER SQUARE,12643.0,No,3.21
98,2021-07-31,2021-08-06,R108,BOROUGH HALL - COURT STREET,53014.0,No,3.21
99,2021-07-31,2021-08-06,R109,CHURCH AVENUE & NOSTRAND AV,22891.0,No,3.21
100,2021-07-31,2021-08-06,R110,FLATBUSH AVE & NOSTRAND AV,32055.0,No,3.21
101,2021-07-31,2021-08-06,R111,23RD STREET & 8TH AVENUE,41268.0,No,3.21
102,2021-07-31,2021-08-06,R112,FORDHAM RD/GRAND CONCOURSE,26365.0,No,3.21
103,2021-07-31,2021-08-06,R113,SEVENTH AVENUE & WEST 53RD,27453.0,No,3.21
104,2021-07-31,2021-08-06,R114,PARSONS BLVD & HILLSIDE AV,15521.0,No,3.21
105,2021-07-31,2021-08-06,R115,169TH STREET & HILLSIDE AVE,18444.0,No,3.21
106,2021-07-31,2021-08-06,R116,50TH STREET & 7TH AVENUE,36992.0,No,3.21
107,2021-07-31,2021-08-06,R117,242ND STREET & BROADWAY,11285.0,No,3.21
108,2021-07-31,2021-08-06,R118,CANAL STREET,25149.0,No,3.21
109,2021-07-31,2021-08-06,R119,FORDHAM ROAD & JEROME AVE,27639.0,No,3.21
110,2021-07-31,2021-08-06,R120,MORRISON AVE & WESTCHESTER,16828.0,No,3.21
111,2021-07-31,2021-08-06,R121,QUEENSBORO PLAZA,27759.0,No,3.21
112,2021-07-31,2021-08-06,R122,90TH STREET/ELMHURST AVENUE,55888.0,No,3.21
113,2021-07-31,2021-08-06,R123,FRANKLIN AVE/EASTERN PKWY,29247.0,No,3.21
114,2021-07-31,2021-08-06,R124,KINGSTON AVE/EASTERN PKWY,10582.0,No,3.21
115,2021-07-31,2021-08-06,R125,BROAD STREET & WALL STREET,11167.0,No,3.21
116,2021-07-31,2021-08-06,R126,175TH STREET/FT WASHINGTON,30924.0,No,3.21
117,2021-07-31,2021-08-06,R127,JAY ST-METROTECH,53215.0,No,3.21
118,2021-07-31,2021-08-06,R128,SUTPHIN BLVD-HILLSIDE AVE,11218.0,No,3.21
119,2021-07-31,2021-08-06,R129,BERGEN STREET-SMITH STREET,22297.0,No,3.21
120,2021-07-31,2021-08-06,R130,KINGS HIGHWAY-MCDONALD AVE,6313.0,No,3.21
121,2021-07-31,2021-08-06,R131,23RD STREET-PARK AVE SOUTH,37701.0,No,3.21
122,2021-07-31,2021-08-06,R132,125TH STREET-LEXINGTON AVE,54965.0,No,3.21
123,2021-07-31,2021-08-06,R133,MOSHOLU PARKWAY-JEROME AVE,21578.0,No,3.21
124,2021-07-31,2021-08-06,R134,HUNTERS PT AVE-49TH AVE,11164.0,No,3.21
125,2021-07-31,2021-08-06,R135,NEWKIRK AVE-NOSTRAND AVE,17844.0,No,3.21
126,2021-07-31,2021-08-06,R136,SHEEPSHEAD BAY ROAD,29021.0,No,3.21
127,2021-07-31,2021-08-06,R137,MYRTLE AVE-GATES AVENUE,45670.0,No,3.21
128,2021-07-31,2021-08-06,R138,WEST 4TH ST-WASHINGTON SQ,81124.0,No,3.21
129,2021-07-31,2021-08-06,R139,CANAL STREET-LISPENARD ST,32922.0,No,3.21
130,2021-07-31,2021-08-06,R140,QUEENS PLAZA-JACKSON AVE,20862.0,No,3.21
131,2021-07-31,2021-08-06,R141,71ST AVE-CONTINENTAL AVE,53408.0,No,3.21
132,2021-07-31,2021-08-06,R142,ESSEX ST-DELANCEY ST,60887.0,No,3.21
133,2021-07-31,2021-08-06,R143,28TH STREET-PARK AVE SOUTH,36650.0,No,3.21
134,2021-07-31,2021-08-06,R144,96TH STREET-LEXINGTON AVE,36119.0,No,3.21
135,2021-07-31,2021-08-06,R145,241ST ST-WHITE PLAINS RD,11967.0,No,3.21
136,2021-07-31,2021-08-06,R146,HUNTS PT AVE-SOUTHERN BLVD,25500.0,No,3.21
137,2021-07-31,2021-08-06,R147,61ST STREET-ROOSEVELT AVE,47350.0,No,3.21
138,2021-07-31,2021-08-06,R148,PARKSIDE AVE-OCEAN AVE,16547.0,No,3.21
139,2021-07-31,2021-08-06,R149,NEWKIRK PLAZA,25384.0,No,3.21
140,2021-07-31,2021-08-06,R150,AVENUE U-EAST 16TH STREET,16668.0,No,3.21
141,2021-07-31,2021-08-06,R151,STILLWELL AVE-CONEY ISLAND,44670.0,No,3.21
142,2021-07-31,2021-08-06,R152,ROCKAWAY PKWY-GLENWOOD RD,16633.0,No,3.21
143,2021-07-31,2021-08-06,R153,UTICA AVE-STUYVESANT AVE,29343.0,No,3.21
144,2021-07-31,2021-08-06,R154,TREMONT AVE-179TH ST,20626.0,No,3.21
145,2021-07-31,2021-08-06,R155,KINGSBRIDGE RD-196TH ST,16723.0,No,3.21
146,2021-07-31,2021-08-06,R156,BEDFORD PARK BLVD-203RD ST,15629.0,No,3.21
147,2021-07-31,2021-08-06,R157,205TH ST-BAINBRIDGE AVE,19571.0,No,3.21
148,2021-07-31,2021-08-06,R158,UNION TURNPIKE-KEW GARDENS,42414.0,No,3.21
149,2021-07-31,2021-08-06,R159,116TH STREET-COLUMBIA,18526.0,No,3.21
150,2021-07-31,2021-08-06,R160,ASTOR PLACE-4 AVENUE,27150.0,No,3.21
151,2021-07-31,2021-08-06,R161,KINGSBRIDGE RD-JEROME AVE,21796.0,No,3.21
152,2021-07-31,2021-08-06,R162,ELDER AVE-WESTCHESTER AVE,17214.0,No,3.21
153,2021-07-31,2021-08-06,R163,14TH STREET-6TH AVENUE,41181.0,No,3.21
154,2021-07-31,2021-08-06,R164,66TH STREET-BROADWAY,31545.0,No,3.21
155,2021-07-31,2021-08-06,R165,TOMPKINSVILLE,1589.0,No,3.21
156,2021-07-31,2021-08-06,R166,79TH STREET-BROADWAY,31787.0,No,3.21
157,2021-07-31,2021-08-06,R167,86TH STREET-BROADWAY,37256.0,No,3.21
158,2021-07-31,2021-08-06,R168,96TH STREET-BROADWAY,76806.0,No,3.21
159,2021-07-31,2021-08-06,R169,137TH STREET-BROADWAY,26629.0,No,3.21
160,2021-07-31,2021-08-06,R170,14TH STREET-UNION SQUARE,177414.0,No,3.21
161,2021-07-31,2021-08-06,R171,7TH AVENUE-PARK PLACE,18580.0,No,3.21
162,2021-07-31,2021-08-06,R172,BRIGHTON BEACH-CONEY ISLAND,32484.0,No,3.21
163,2021-07-31,2021-08-06,R173,207TH STREET-BROADWAY,19825.0,No,3.21
164,2021-07-31,2021-08-06,R174,181ST STREET-FT WASH AVE,31245.0,No,3.21
165,2021-07-31,2021-08-06,R175,8TH AVENUE-14TH STREET,89604.0,No,3.21
166,2021-07-31,2021-08-06,R176,33RD STREET-PARK AVENUE,52375.0,No,3.21
167,2021-07-31,2021-08-06,R177,68TH STREET-HUNTER COLLEGE,38210.0,No,3.21
168,2021-07-31,2021-08-06,R178,77TH STREET-LEXINGTON AVE,57370.0,No,3.21
169,2021-07-31,2021-08-06,R179,86TH STREET-LEXINGTON AVE,95092.0,No,3.21
170,2021-07-31,2021-08-06,R180,103RD STREET-LEXINGTON AVE,29773.0,No,3.21
171,2021-07-31,2021-08-06,R181,110TH STREET-LEXINGTON AVE,25240.0,No,3.21
172,2021-07-31,2021-08-06,R182,116TH STREET-LEXINGTON AVE,31845.0,No,3.21
173,2021-07-31,2021-08-06,R183,BEDFORD PARK BLVD-JEROME AV,10783.0,No,3.21
174,2021-07-31,2021-08-06,R184,CORTELYOU RD-EAST 16TH ST,15619.0,No,3.21
175,2021-07-31,2021-08-06,R185,DYCKMAN STREET-BROADWAY,17222.0,No,3.21
176,2021-07-31,2021-08-06,R186,86TH ST-CENTRAL PARK WEST,20444.0,No,3.21
177,2021-07-31,2021-08-06,R187,81ST STREET-MUSEUM,30831.0,No,3.21
178,2021-07-31,2021-08-06,R188,50TH STREET-8TH AVENUE,42793.0,No,3.21
179,2021-07-31,2021-08-06,R189,CHRISTOPHER ST-SHERIDAN SQ,22867.0,No,3.21
180,2021-07-31,2021-08-06,R190,23RD STREET-7TH AVENUE,25438.0,No,3.21
181,2021-07-31,2021-08-06,R191,103RD STREET-BROADWAY,28033.0,No,3.21
182,2021-07-31,2021-08-06,R192,110TH STREET-BROADWAY,24825.0,No,3.21
183,2021-07-31,2021-08-06,R193,157TH STREET-BROADWAY,26621.0,No,3.21
184,2021-07-31,2021-08-06,R194,BLEECKER ST-LAFAYETTE ST,28663.0,No,3.21
185,2021-07-31,2021-08-06,R195,161ST STREET-YANKEE STADIUM,74398.0,No,3.21
186,2021-07-31,2021-08-06,R196,PROSPECT PARK-EMPIRE BLVD,24612.0,No,3.21
187,2021-07-31,2021-08-06,R197,36TH STREET-4TH AVENUE,35582.0,No,3.21
188,2021-07-31,2021-08-06,R198,NOSTRAND AVE-FULTON ST,36170.0,No,3.21
189,2021-07-31,2021-08-06,R199,KINGSTON AVE-THROOP AVE,12898.0,No,3.21
190,2021-07-31,2021-08-06,R200,EUCLID AVE-PITKIN AVE,21379.0,No,3.21
191,2021-07-31,2021-08-06,R201,WOODHAVEN BLVD-QUEENS BLVD,46659.0,No,3.21
192,2021-07-31,2021-08-06,R202,63RD DRIVE-REGO PARK,37303.0,No,3.21
193,2021-07-31,2021-08-06,R203,23RD STREET-6TH AVENUE,27885.0,No,3.21
194,2021-07-31,2021-08-06,R204,CHURCH AVE-MCDONALD AVE,22905.0,No,3.21
195,2021-07-31,2021-08-06,R205,149TH ST-GRAND CONCOURSE,26700.0,No,3.21
196,2021-07-31,2021-08-06,R206,125TH STREET-LENOX AVENUE,30341.0,No,3.21
197,2021-07-31,2021-08-06,R207,135TH STREET-LENOX AVENUE,31784.0,No,3.21
198,2021-07-31,2021-08-06,R208,103RD ST-ROOSEVELT AVE,65057.0,No,3.21
199,2021-07-31,2021-08-06,R209,STERLING ST-NOSTRAND AVE,13815.0,No,3.21
200,2021-07-31,2021-08-06,R210,BEVERLY RD-NOSTRAND AVE,10738.0,No,3.21
201,2021-07-31,2021-08-06,R211,KINGS HIGHWAY-EAST 16TH ST,41838.0,No,3.21
202,2021-07-31,2021-08-06,R212,59TH STREET-4TH AVENUE,34114.0,No,3.21
203,2021-07-31,2021-08-06,R213,BAY RIDGE AVE-4TH AVENUE,17651.0,No,3.21
204,2021-07-31,2021-08-06,R214,77TH STREET-4TH AVENUE,12750.0,No,3.21
205,2021-07-31,2021-08-06,R215,86TH STREET-4TH AVENUE,22306.0,No,3.21
206,2021-07-31,2021-08-06,R216,BAY RIDGE - 95TH STREET,12723.0,No,3.21
207,2021-07-31,2021-08-06,R217,HOYT ST-SCHERMERHORN ST,23643.0,No,3.21
208,2021-07-31,2021-08-06,R218,ELMHURST AVE-BROADWAY,34224.0,No,3.21
209,2021-07-31,2021-08-06,R219,67TH AVENUE-QUEENS BLVD,18435.0,No,3.21
210,2021-07-31,2021-08-06,R220,CARROLL ST-PRESIDENT ST,22087.0,No,3.21
211,2021-07-31,2021-08-06,R221,167TH STREET-RIVER AVENUE,25629.0,No,3.21
212,2021-07-31,2021-08-06,R222,177TH STREET-PARKCHESTER,34512.0,No,3.21
213,2021-07-31,2021-08-06,R223,46TH ST-BLISS ST,35805.0,No,3.21
214,2021-07-31,2021-08-06,R224,CLARK STREET-HENRY STREET,13113.0,No,3.21
215,2021-07-31,2021-08-06,R225,HOYT STREET-HOYT STREET,9788.0,No,3.21
216,2021-07-31,2021-08-06,R226,GUN HILL ROAD-SEYMOUR,11172.0,No,3.21
217,2021-07-31,2021-08-06,R227,RECTOR STREET-CHURCH STREET,9364.0,No,3.21
218,2021-07-31,2021-08-06,R228,AVENUE J-EAST 16TH STREET,13348.0,No,3.21
219,2021-07-31,2021-08-06,R229,AVENUE M-EAST 16TH STREET,13858.0,No,3.21
220,2021-07-31,2021-08-06,R230,NECK ROAD-EAST 16TH STREET,10459.0,No,3.21
221,2021-07-31,2021-08-06,R231,UNION STREET-4TH AVENUE,16416.0,No,3.21
222,2021-07-31,2021-08-06,R232,45TH STREET-4TH AVENUE,20945.0,No,3.21
223,2021-07-31,2021-08-06,R233,53RD STREET-4TH AVENUE,24368.0,No,3.21
224,2021-07-31,2021-08-06,R234,50TH STREET-NEW UTRECHT AVE,8722.0,No,3.21
225,2021-07-31,2021-08-06,R235,BEDFORD AVE-NORTH 7TH ST,59999.0,No,3.21
226,2021-07-31,2021-08-06,R236,DEKALB AVE-WYCKOFF AVE,28857.0,No,3.21
227,2021-07-31,2021-08-06,R237,182ND STREET-183RD STREET,11656.0,No,3.21
228,2021-07-31,2021-08-06,R238,STEINWAY ST-BROADWAY,31130.0,No,3.21
229,2021-07-31,2021-08-06,R239,GREENPOINT AVE,23824.0,No,3.21
230,2021-07-31,2021-08-06,R240,GRAND ST-CHRISTIE ST,59144.0,No,3.21
231,2021-07-31,2021-08-06,R241,15TH ST-PROSPECT PARK WEST,12152.0,No,3.21
232,2021-07-31,2021-08-06,R242,18TH AVE-MCDONALD AVE,7084.0,No,3.21
233,2021-07-31,2021-08-06,R243,170TH STREET-JEROME AVENUE,19529.0,No,3.21
234,2021-07-31,2021-08-06,R244,BURNSIDE AVE-JEROME AVE,23668.0,No,3.21
235,2021-07-31,2021-08-06,R245,ST LAWRENCE AVE-WEST AVE,11360.0,No,3.21
236,2021-07-31,2021-08-06,R246,PROSPECT AVENUE-4TH AVENUE,12809.0,No,3.21
237,2021-07-31,2021-08-06,R247,55TH ST-NEW UTRECHT AVE,5294.0,No,3.21
238,2021-07-31,2021-08-06,R248,1ST AVENUE-14TH STREET,48949.0,No,3.21
239,2021-07-31,2021-08-06,R249,GRAHAM AVE-METROPOLITAN AVE,19514.0,No,3.21
240,2021-07-31,2021-08-06,R250,GRAND ST-BUSHWICK AVE,14068.0,No,3.21
241,2021-07-31,2021-08-06,R251,96TH ST-CENTRAL PARK WEST,19487.0,No,3.21
242,2021-07-31,2021-08-06,R252,HIGH ST-CADMAN PLAZA WEST,18260.0,No,3.21
243,2021-07-31,2021-08-06,R253,174TH-175TH ST-GRAND CONCOU,13020.0,No,3.21
244,2021-07-31,2021-08-06,R254,GRAND AVE-QUEENS BOULEVARD,41854.0,No,3.21
245,2021-07-31,2021-08-06,R255,VAN WYCK BLVD-MAIN STREET,11521.0,No,3.21
246,2021-07-31,2021-08-06,R256,NASSAU AVE-MANHATTAN AVE,21754.0,No,3.21
247,2021-07-31,2021-08-06,R257,EAST BROADWAY-MADISON ST,35752.0,No,3.21
248,2021-07-31,2021-08-06,R258,4TH AVENUE-9TH STREET,27503.0,No,3.21
249,2021-07-31,2021-08-06,R259,ROOSEVELT ISLAND,19753.0,No,3.21
250,2021-07-31,2021-08-06,R261,40TH STREET-LOWERY STREET,23732.0,No,3.21
251,2021-07-31,2021-08-06,R262,BEVERLEY ROAD -EAST 15TH ST,8389.0,No,3.21
252,2021-07-31,2021-08-06,R263,AVENUE H-EAST 16TH STREET,6356.0,No,3.21
253,2021-07-31,2021-08-06,R264,OCEAN PKWAY-BRIGHTON BCH AV,9508.0,No,3.21
254,2021-07-31,2021-08-06,R265,MONTROSE AVENUE,16421.0,No,3.21
255,2021-07-31,2021-08-06,R266,HALSEY STREET-WYCKOFF AVE,18545.0,No,3.21
256,2021-07-31,2021-08-06,R267,46TH STREET-BROADWAY,19303.0,No,3.21
257,2021-07-31,2021-08-06,R268,METROPOLITAN AVE-LORIMER ST,31232.0,No,3.21
258,2021-07-31,2021-08-06,R269,BEDFORD AVENUE-NOSTRAND AVE,18348.0,No,3.21
259,2021-07-31,2021-08-06,R270,SMITH STREET-9TH STREET,10074.0,No,3.21
260,2021-07-31,2021-08-06,R271,AVENUE X-MCDONALD AVENUE,4571.0,No,3.21
261,2021-07-31,2021-08-06,R272,28TH STREET-7TH AVENUE,23193.0,No,3.21
262,2021-07-31,2021-08-06,R273,145TH STREET-BROADWAY,24319.0,No,3.21
263,2021-07-31,2021-08-06,R274,191ST STREET-ST NICHOLAS AV,23057.0,No,3.21
264,2021-07-31,2021-08-06,R275,183RD STREET-JEROME AVENUE,15536.0,No,3.21
265,2021-07-31,2021-08-06,R276,JACKSON AVENUE-VERNON BLVD,33349.0,No,3.21
266,2021-07-31,2021-08-06,R277,PRESIDENT ST-NOSTRAND AVE,8440.0,No,3.21
267,2021-07-31,2021-08-06,R278,25TH STREET-4TH AVENUE,7058.0,No,3.21
268,2021-07-31,2021-08-06,R279,JEFFERSON STREET-WYCKOFF AV,18218.0,No,3.21
269,2021-07-31,2021-08-06,R280,190TH STREET-OVERLOOK TERR,7160.0,No,3.21
270,2021-07-31,2021-08-06,R281,72ND STREET-CENTRAL PK WEST,20611.0,No,3.21
271,2021-07-31,2021-08-06,R282,SPRING STREET-6TH AVENUE,23205.0,No,3.21
272,2021-07-31,2021-08-06,R283,LAFAYETTE AVENUE-FULTON ST,9956.0,No,3.21
273,2021-07-31,2021-08-06,R284,CLINTON AVENUE-FULTON ST,12305.0,No,3.21
274,2021-07-31,2021-08-06,R285,MOTT AVENUE-BEACH 22ND ST,11008.0,No,3.21
275,2021-07-31,2021-08-06,R286,MYRTLE AVENUE-MARCY AVENUE,12957.0,No,3.21
276,2021-07-31,2021-08-06,R287,CLASSON AVENUE-LAFAYETTE AV,11841.0,No,3.21
277,2021-07-31,2021-08-06,R288,7TH AVENUE-9TH STREET,23752.0,No,3.21
278,2021-07-31,2021-08-06,R289,FT HAMILTON PKY-GREENWOOD,12097.0,No,3.21
279,2021-07-31,2021-08-06,R290,HOUSTON STREET-VARICK ST,22890.0,No,3.21
280,2021-07-31,2021-08-06,R291,33RD STREET-QUEENS BLVD,14791.0,No,3.21
281,2021-07-31,2021-08-06,R292,BAYCHESTER AVE-TILLOTSON,7333.0,No,3.21
282,2021-07-31,2021-08-06,R293,34TH STREET - PENN STATION,88954.0,No,3.21
283,2021-07-31,2021-08-06,R294,MORGAN AVENUE-HARRISON PL,15662.0,No,3.21
284,2021-07-31,2021-08-06,R295,WILSON AVENUE-MOFFAT STREET,10804.0,No,3.21
285,2021-07-31,2021-08-06,R296,163RD ST & AMSTERDAM AVE,10012.0,No,3.21
286,2021-07-31,2021-08-06,R297,FRANKLIN AVENUE-FULTON ST,11962.0,No,3.21
287,2021-07-31,2021-08-06,R298,NORTHERN BLVD-BROADWAY,15324.0,No,3.21
288,2021-07-31,2021-08-06,R299,BROADWAY - UNION AVENUE,12406.0,No,3.21
289,2021-07-31,2021-08-06,R300,2ND AVENUE-HOUSTON STREET,37336.0,No,3.21
290,2021-07-31,2021-08-06,R301,YORK STREET-JAY STREET,26276.0,No,3.21
291,2021-07-31,2021-08-06,R302,57TH STREET-6TH AVENUE,25995.0,No,3.21
292,2021-07-31,2021-08-06,R303,21ST STREET-QUEENSBRIDGE,19819.0,No,3.21
293,2021-07-31,2021-08-06,R304,RECTOR STREET-GREENWICH ST,12368.0,No,3.21
294,2021-07-31,2021-08-06,R305,WTC-CORTLANDT ST,21581.0,No,3.21
295,2021-07-31,2021-08-06,R306,238TH STREET-BROADWAY,11710.0,No,3.21
296,2021-07-31,2021-08-06,R307,138TH ST-GRAND CONCOURSE,10170.0,No,3.21
297,2021-07-31,2021-08-06,R308,MT EDEN AVENUE-JEROME AVE,14211.0,No,3.21
