,From Date,To Date,Remote Station ID,Station,Total Fares for the Week,Contains Holiday,Gas Price,Total Snowfall,Total Rainfall
0,2021-07-31,2021-08-06,R001,WHITEHALL STREET,52469.0,No,3.21,0.0,2.83
1,2021-07-31,2021-08-06,R003,CYPRESS HILLS,3029.0,No,3.21,0.0,2.83
2,2021-07-31,2021-08-06,R004,75TH STREET & ELDERTS LANE,8455.0,No,3.21,0.0,2.83
3,2021-07-31,2021-08-06,R005,85TH STREET & FOREST PKWAY,8678.0,No,3.21,0.0,2.83
4,2021-07-31,2021-08-06,R006,WOODHAVEN BOULEVARD,9821.0,No,3.21,0.0,2.83
5,2021-07-31,2021-08-06,R007,104TH STREET,6275.0,No,3.21,0.0,2.83
6,2021-07-31,2021-08-06,R008,111TH STREET,4925.0,No,3.21,0.0,2.83
7,2021-07-31,2021-08-06,R009,121ST STREET,4636.0,No,3.21,0.0,2.83
8,2021-07-31,2021-08-06,R010,42ND STREET & 8TH AVENUE,65341.0,No,3.21,0.0,2.83
9,2021-07-31,2021-08-06,R011,42ND STREET & 8TH AVENUE,136032.0,No,3.21,0.0,2.83
10,2021-07-31,2021-08-06,R012,34TH STREET & 8TH AVENUE,114961.0,No,3.21,0.0,2.83
11,2021-07-31,2021-08-06,R013,34TH STREET & 8TH AVENUE,37380.0,No,3.21,0.0,2.83
12,2021-07-31,2021-08-06,R014,FULTON STREET,102592.0,No,3.21,0.0,2.83
13,2021-07-31,2021-08-06,R015,FIFTH AVENUE,35717.0,No,3.21,0.0,2.83
14,2021-07-31,2021-08-06,R016,LEXINGTON AVENUE,9399.0,No,3.21,0.0,2.83
15,2021-07-31,2021-08-06,R017,LEXINGTON AVENUE,55073.0,No,3.21,0.0,2.83
16,2021-07-31,2021-08-06,R018,ROOSEVELT AVE/JACKSON HTS,139251.0,No,3.21,0.0,2.83
17,2021-07-31,2021-08-06,R019,179TH STREET & HILLSIDE AVE,36883.0,No,3.21,0.0,2.83
18,2021-07-31,2021-08-06,R020,47-50 STREETS/ROCKEFELLER,91882.0,No,3.21,0.0,2.83
19,2021-07-31,2021-08-06,R021,42ND STREET & 6TH AVENUE,64585.0,No,3.21,0.0,2.83
20,2021-07-31,2021-08-06,R022,34TH STREET & 6TH AVENUE,138595.0,No,3.21,0.0,2.83
21,2021-07-31,2021-08-06,R023,34TH STREET & 6TH AVENUE,88739.0,No,3.21,0.0,2.83
22,2021-07-31,2021-08-06,R024,SUTPHIN BOULEVARD,56256.0,No,3.21,0.0,2.83
23,2021-07-31,2021-08-06,R025,JAMAICA CENTER-PARSONS BLVD,54505.0,No,3.21,0.0,2.83
24,2021-07-31,2021-08-06,R027,WALL STREET,29868.0,No,3.21,0.0,2.83
25,2021-07-31,2021-08-06,R028,FULTON & WILLIAM STREETS,43056.0,No,3.21,0.0,2.83
26,2021-07-31,2021-08-06,R029,PARK PLACE,70404.0,No,3.21,0.0,2.83
27,2021-07-31,2021-08-06,R030,CHAMBERS STREET,26991.0,No,3.21,0.0,2.83
28,2021-07-31,2021-08-06,R031,34TH STREET & 7TH AVENUE,47648.0,No,3.21,0.0,2.83
29,2021-07-31,2021-08-06,R032,42ND STREET/TIMES SQUARE,72755.0,No,3.21,0.0,2.83
30,2021-07-31,2021-08-06,R033,42ND STREET/TIMES SQUARE,96949.0,No,3.21,0.0,2.83
31,2021-07-31,2021-08-06,R034,125TH STREET & BROADWAY,17255.0,No,3.21,0.0,2.83
32,2021-07-31,2021-08-06,R035,168TH STREET & BROADWAY,56741.0,No,3.21,0.0,2.83
33,2021-07-31,2021-08-06,R036,DYCKMAN STREET,18537.0,No,3.21,0.0,2.83
34,2021-07-31,2021-08-06,R037,207TH STREET,14643.0,No,3.21,0.0,2.83
35,2021-07-31,2021-08-06,R038,215TH STREET,3662.0,No,3.21,0.0,2.83
36,2021-07-31,2021-08-06,R039,225TH STREET,12320.0,No,3.21,0.0,2.83
37,2021-07-31,2021-08-06,R040,231ST STREET,21523.0,No,3.21,0.0,2.83
38,2021-07-31,2021-08-06,R041,BOWLING GREEN & BATTERY PL,31207.0,No,3.21,0.0,2.83
39,2021-07-31,2021-08-06,R042,BOWLING GREEN & BROADWAY,9810.0,No,3.21,0.0,2.83
40,2021-07-31,2021-08-06,R043,WALL STREET,26764.0,No,3.21,0.0,2.83
41,2021-07-31,2021-08-06,R044,BROOKLYN BRIDGE,48322.0,No,3.21,0.0,2.83
42,2021-07-31,2021-08-06,R045,42ND STREET & GRAND CENTRAL,19339.0,No,3.21,0.0,2.83
43,2021-07-31,2021-08-06,R046,42ND STREET & GRAND CENTRAL,115946.0,No,3.21,0.0,2.83
44,2021-07-31,2021-08-06,R047,42ND STREET & GRAND CENTRAL,58899.0,No,3.21,0.0,2.83
45,2021-07-31,2021-08-06,R048,42ND STREET & 3RD AVENUE,16289.0,No,3.21,0.0,2.83
46,2021-07-31,2021-08-06,R049,51ST STREET & LEXINGTON AVE,29169.0,No,3.21,0.0,2.83
47,2021-07-31,2021-08-06,R050,59TH STREET & LEXINGTON AVE,36104.0,No,3.21,0.0,2.83
48,2021-07-31,2021-08-06,R051,59TH STREET & LEXINGTON AVE,65807.0,No,3.21,0.0,2.83
49,2021-07-31,2021-08-06,R052,WOODLAWN ROAD,12987.0,No,3.21,0.0,2.83
50,2021-07-31,2021-08-06,R053,149TH STREET & 3RD AVENUE,51607.0,No,3.21,0.0,2.83
51,2021-07-31,2021-08-06,R054,FIFTH AVENUE & 42ND STREET,24967.0,No,3.21,0.0,2.83
52,2021-07-31,2021-08-06,R055,MAIN STREET,121728.0,No,3.21,0.0,2.83
53,2021-07-31,2021-08-06,R056,NEVINS STREET,18831.0,No,3.21,0.0,2.83
54,2021-07-31,2021-08-06,R057,BARCLAYS CENTER,86182.0,No,3.21,0.0,2.83
55,2021-07-31,2021-08-06,R058,BERGEN STREET,6706.0,No,3.21,0.0,2.83
56,2021-07-31,2021-08-06,R059,GRAND ARMY PLAZA,13868.0,No,3.21,0.0,2.83
57,2021-07-31,2021-08-06,R060,EASTERN PARKWAY,9465.0,No,3.21,0.0,2.83
58,2021-07-31,2021-08-06,R061,NOSTRAND AVENUE,9309.0,No,3.21,0.0,2.83
59,2021-07-31,2021-08-06,R062,UTICA AVENUE,53929.0,No,3.21,0.0,2.83
60,2021-07-31,2021-08-06,R063,SUTTER AVENUE,15529.0,No,3.21,0.0,2.83
61,2021-07-31,2021-08-06,R064,SARATOGA AVENUE,13468.0,No,3.21,0.0,2.83
62,2021-07-31,2021-08-06,R065,ROCKAWAY AVENUE,11356.0,No,3.21,0.0,2.83
63,2021-07-31,2021-08-06,R066,JUNIUS STREET,4991.0,No,3.21,0.0,2.83
64,2021-07-31,2021-08-06,R067,PENNSYLVANIA AVENUE,10112.0,No,3.21,0.0,2.83
65,2021-07-31,2021-08-06,R068,VAN SICLEN AVENUE,6448.0,No,3.21,0.0,2.83
66,2021-07-31,2021-08-06,R069,NEW LOTS AVENUE,12209.0,No,3.21,0.0,2.83
67,2021-07-31,2021-08-06,R070,ST GEORGE TERMINAL,13803.0,No,3.21,0.0,2.83
68,2021-07-31,2021-08-06,R072,34TH STREET - HUDSON YARDS,42435.0,No,3.21,0.0,2.83
69,2021-07-31,2021-08-06,R079,FIFTH AVENUE & 60TH STREET,34024.0,No,3.21,0.0,2.83
70,2021-07-31,2021-08-06,R080,57TH STREET & 7TH AVENUE,62143.0,No,3.21,0.0,2.83
71,2021-07-31,2021-08-06,R081,49TH STREET & 7TH AVENUE,42398.0,No,3.21,0.0,2.83
72,2021-07-31,2021-08-06,R082,28TH STREET & BROADWAY,21627.0,No,3.21,0.0,2.83
73,2021-07-31,2021-08-06,R083,23RD STREET & 5TH AVENUE,35992.0,No,3.21,0.0,2.83
74,2021-07-31,2021-08-06,R084,59TH STREET/COLUMBUS CIRCLE,127428.0,No,3.21,0.0,2.83
75,2021-07-31,2021-08-06,R085,8TH STREET & BROADWAY,26268.0,No,3.21,0.0,2.83
76,2021-07-31,2021-08-06,R086,PRINCE STREET & BROADWAY,25896.0,No,3.21,0.0,2.83
77,2021-07-31,2021-08-06,R087,CITY HALL,9900.0,No,3.21,0.0,2.83
78,2021-07-31,2021-08-06,R088,CORTLANDT STREET,32926.0,No,3.21,0.0,2.83
79,2021-07-31,2021-08-06,R089,JAY ST-METROTECH,5836.0,No,3.21,0.0,2.83
80,2021-07-31,2021-08-06,R090,39TH AVENUE & 31ST STREET,6728.0,No,3.21,0.0,2.83
81,2021-07-31,2021-08-06,R091,36TH AVENUE & 31ST STREET,15467.0,No,3.21,0.0,2.83
82,2021-07-31,2021-08-06,R092,BROADWAY & 31ST STREET,28196.0,No,3.21,0.0,2.83
83,2021-07-31,2021-08-06,R093,30TH AVENUE & 31ST STREET,30920.0,No,3.21,0.0,2.83
84,2021-07-31,2021-08-06,R094,ASTORIA BLVD & 31ST STREET,22208.0,No,3.21,0.0,2.83
85,2021-07-31,2021-08-06,R095,DITMARS BLVD & 31ST STREET,32727.0,No,3.21,0.0,2.83
86,2021-07-31,2021-08-06,R096,82ND STREET-JACKSON HEIGHTS,52692.0,No,3.21,0.0,2.83
87,2021-07-31,2021-08-06,R097,JUNCTION BLVD-ROOSEVELT AVE,77141.0,No,3.21,0.0,2.83
88,2021-07-31,2021-08-06,R098,CHURCH AVENUE,38813.0,No,3.21,0.0,2.83
89,2021-07-31,2021-08-06,R099,DEKALB AVENUE,38135.0,No,3.21,0.0,2.83
90,2021-07-31,2021-08-06,R100,METROPOLITAN AVENUE,7713.0,No,3.21,0.0,2.83
91,2021-07-31,2021-08-06,R101,145TH STREET,50194.0,No,3.21,0.0,2.83
92,2021-07-31,2021-08-06,R102,125TH STREET,61694.0,No,3.21,0.0,2.83
93,2021-07-31,2021-08-06,R103,BROADWAY-EAST NEW YORK,16584.0,No,3.21,0.0,2.83
94,2021-07-31,2021-08-06,R104,167TH ST-GRAND CONCOURSE,20376.0,No,3.21,0.0,2.83
95,2021-07-31,2021-08-06,R105,14TH STREET & 7TH AVENUE,45529.0,No,3.21,0.0,2.83
96,2021-07-31,2021-08-06,R106,CASTLE HILL AVENUE,15632.0,No,3.21,0.0,2.83
97,2021-07-31,2021-08-06,R107,WESTCHESTER SQUARE,12643.0,No,3.21,0.0,2.83
98,2021-07-31,2021-08-06,R108,BOROUGH HALL - COURT STREET,53014.0,No,3.21,0.0,2.83
99,2021-07-31,2021-08-06,R109,CHURCH AVENUE & NOSTRAND AV,22891.0,No,3.21,0.0,2.83
100,2021-07-31,2021-08-06,R110,FLATBUSH AVE & NOSTRAND AV,32055.0,No,3.21,0.0,2.83
101,2021-07-31,2021-08-06,R111,23RD STREET & 8TH AVENUE,41268.0,No,3.21,0.0,2.83
102,2021-07-31,2021-08-06,R112,FORDHAM RD/GRAND CONCOURSE,26365.0,No,3.21,0.0,2.83
103,2021-07-31,2021-08-06,R113,SEVENTH AVENUE & WEST 53RD,27453.0,No,3.21,0.0,2.83
104,2021-07-31,2021-08-06,R114,PARSONS BLVD & HILLSIDE AV,15521.0,No,3.21,0.0,2.83
105,2021-07-31,2021-08-06,R115,169TH STREET & HILLSIDE AVE,18444.0,No,3.21,0.0,2.83
106,2021-07-31,2021-08-06,R116,50TH STREET & 7TH AVENUE,36992.0,No,3.21,0.0,2.83
107,2021-07-31,2021-08-06,R117,242ND STREET & BROADWAY,11285.0,No,3.21,0.0,2.83
108,2021-07-31,2021-08-06,R118,CANAL STREET,25149.0,No,3.21,0.0,2.83
109,2021-07-31,2021-08-06,R119,FORDHAM ROAD & JEROME AVE,27639.0,No,3.21,0.0,2.83
110,2021-07-31,2021-08-06,R120,MORRISON AVE & WESTCHESTER,16828.0,No,3.21,0.0,2.83
111,2021-07-31,2021-08-06,R121,QUEENSBORO PLAZA,27759.0,No,3.21,0.0,2.83
112,2021-07-31,2021-08-06,R122,90TH STREET/ELMHURST AVENUE,55888.0,No,3.21,0.0,2.83
113,2021-07-31,2021-08-06,R123,FRANKLIN AVE/EASTERN PKWY,29247.0,No,3.21,0.0,2.83
114,2021-07-31,2021-08-06,R124,KINGSTON AVE/EASTERN PKWY,10582.0,No,3.21,0.0,2.83
115,2021-07-31,2021-08-06,R125,BROAD STREET & WALL STREET,11167.0,No,3.21,0.0,2.83
116,2021-07-31,2021-08-06,R126,175TH STREET/FT WASHINGTON,30924.0,No,3.21,0.0,2.83
117,2021-07-31,2021-08-06,R127,JAY ST-METROTECH,53215.0,No,3.21,0.0,2.83
118,2021-07-31,2021-08-06,R128,SUTPHIN BLVD-HILLSIDE AVE,11218.0,No,3.21,0.0,2.83
119,2021-07-31,2021-08-06,R129,BERGEN STREET-SMITH STREET,22297.0,No,3.21,0.0,2.83
120,2021-07-31,2021-08-06,R130,KINGS HIGHWAY-MCDONALD AVE,6313.0,No,3.21,0.0,2.83
121,2021-07-31,2021-08-06,R131,23RD STREET-PARK AVE SOUTH,37701.0,No,3.21,0.0,2.83
122,2021-07-31,2021-08-06,R132,125TH STREET-LEXINGTON AVE,54965.0,No,3.21,0.0,2.83
123,2021-07-31,2021-08-06,R133,MOSHOLU PARKWAY-JEROME AVE,21578.0,No,3.21,0.0,2.83
124,2021-07-31,2021-08-06,R134,HUNTERS PT AVE-49TH AVE,11164.0,No,3.21,0.0,2.83
125,2021-07-31,2021-08-06,R135,NEWKIRK AVE-NOSTRAND AVE,17844.0,No,3.21,0.0,2.83
126,2021-07-31,2021-08-06,R136,SHEEPSHEAD BAY ROAD,29021.0,No,3.21,0.0,2.83
127,2021-07-31,2021-08-06,R137,MYRTLE AVE-GATES AVENUE,45670.0,No,3.21,0.0,2.83
128,2021-07-31,2021-08-06,R138,WEST 4TH ST-WASHINGTON SQ,81124.0,No,3.21,0.0,2.83
129,2021-07-31,2021-08-06,R139,CANAL STREET-LISPENARD ST,32922.0,No,3.21,0.0,2.83
130,2021-07-31,2021-08-06,R140,QUEENS PLAZA-JACKSON AVE,20862.0,No,3.21,0.0,2.83
131,2021-07-31,2021-08-06,R141,71ST AVE-CONTINENTAL AVE,53408.0,No,3.21,0.0,2.83
132,2021-07-31,2021-08-06,R142,ESSEX ST-DELANCEY ST,60887.0,No,3.21,0.0,2.83
